Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,Investigator,Project,Tissue,Type,EBV,Cell_Line,Wildtype,Normal,Coment,Scan_Date,GDSC1,GDSC2,cosmic_id
HL-60,A06,SMET0001,NA,NA,5684819030,R05C01,Catia Moutinio,NA,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE MYELOID LEUKEMIA,No,YES,Yes,No,NA,2011-02-12,blood,acute_myeloid_leukaemia,905938
IGR-37,B06,SMET0001,NA,NA,5684819030,R06C01,Javi Carmona,NA,SKIN,MELANOMA,No,YES,Yes,No,Metastasis,2011-02-12,skin,melanoma,1240153
WM793B,C07,SMET0001,NA,NA,5723654013,R03C01,Javi Carmona,NA,SKIN,MELANOMA,No,YES,Yes,No,Metastasis,2011-02-12,skin,melanoma,1299081
IGR39,C08,SMET0001,NA,NA,5723654013,R05C02,Javi Carmona,NA,SKIN,MELANOMA,No,YES,Yes,No,Primary,2011-02-12,skin,melanoma,1298148
SW-480,D09,SMET0001,NA,NA,5723654015,R02C02,Javi Carmona,NA,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,Primary,2011-02-12,NA,NA,NA
C32,E09,SMET0001,NA,NA,5723654015,R03C02,Catia Moutinio,NA,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-02-12,skin,melanoma,906830
PC-3,B01,SMET0005,NA,NA,5975827037,R01C02,Sebastian Moran,NCI60,PROSTATE,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,prostate,905934
UACC-257,A03,SMET0005,NA,NA,5975827037,R03C01,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905977
HT-29,B04,SMET0005,NA,NA,5975827037,R04C02,Sebastian Moran,NCI60,COLON,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,digestive_system,large_intestine,905939
MALME-3M,B05,SMET0005,NA,NA,5975827037,R05C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905953
HCT-116,A06,SMET0005,NA,NA,5975827037,R06C01,Sebastian Moran,NCI60,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,digestive_system,large_intestine,905936
NCI-H23,C02,SMET0005,NA,NA,5975827038,R02C01,Sebastian Moran,NCI60,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,lung,lung_NSCLC_adenocarcinoma,905942
SK-OV-3,D03,SMET0005,NA,NA,5975827038,R03C02,Sebastian Moran,NCI60,OVARY,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,ovary,905959
UACC-62,F01,SMET0005,NA,NA,5975827051,R01C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905976
MOLT-4,F02,SMET0005,NA,NA,5975827051,R02C02,Sebastian Moran,NCI60,HAEMATOPOIETIC AND LYMPHOID TISSUE,ACUTE LYMPHOBLASTIC LEUKEMIA,No,YES,Yes,No,NA,2011-07-01,blood,lymphoblastic_leukemia,905958
A498,F03,SMET0005,NA,NA,5975827051,R03C02,Sebastian Moran,NCI60,KIDNEY,RENAL CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,kidney,kidney,905948
U251,E05,SMET0005,NA,NA,5975827051,R05C01,Sebastian Moran,NCI60,CENTRAL NERVOUS SYSTEM,ASTROCYTOMA,No,YES,Yes,No,NA,2011-07-01,nervous_system,glioma,905983
SK-MEL-28,F06,SMET0005,NA,NA,5975827051,R06C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905954
OVCAR-4,G02,SMET0005,NA,NA,6055424012,R02C01,Sebastian Moran,NCI60,OVARY,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,ovary,905990
HCT-15,H03,SMET0005,NA,NA,6055424012,R03C02,Sebastian Moran,NCI60,COLON,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,digestive_system,large_intestine,905937
MDA-MB-231,H04,SMET0005,NA,NA,6055424012,R04C02,Sebastian Moran,NCI60,BREAST,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,905960
MDA-MB-435,H05,SMET0005,NA,NA,6055424012,R05C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,905988
IGROV-1,A07,SMET0005,NA,NA,6055424071,R01C01,Sebastian Moran,NCI60,OVARY,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,ovary,905968
RPMI-8226,B07,SMET0005,NA,NA,6055424071,R01C02,Sebastian Moran,NCI60,HAEMATOPOIETIC AND LYMPHOID TISSUE,MULTIPLE MYELOMA,No,YES,Yes,No,NA,2011-07-01,blood,myeloma,905964
COLO-205,A08,SMET0005,NA,NA,6055424071,R02C01,Sebastian Moran,NCI60,COLON,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,digestive_system,large_intestine,905961
MCF7,B09,SMET0005,NA,NA,6055424071,R03C02,Sebastian Moran,NCI60,BREAST,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,905946
T47D,B10,SMET0005,NA,NA,6055424071,R04C02,Sebastian Moran,NCI60,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,905945
OVCAR-8,C07,SMET0005,NA,NA,6055424072,R01C01,Sebastian Moran,NCI60,OVARY,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,ovary,905991
SF295,D09,SMET0005,NA,NA,6055424072,R03C02,Sebastian Moran,NCI60,CENTRAL NERVOUS SYSTEM,ASTROCYTOMA,No,YES,Yes,No,NA,2011-07-01,nervous_system,glioma,905985
DU-145,D10,SMET0005,NA,NA,6055424072,R04C02,Sebastian Moran,NCI60,PROSTATE,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,urogenital_system,prostate,905935
LOXIMVI,D11,SMET0005,NA,NA,6055424072,R05C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905974
ACHN,C12,SMET0005,NA,NA,6055424072,R06C01,Sebastian Moran,NCI60,KIDNEY,RENAL CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,kidney,kidney,905950
SK-MEL-5,F07,SMET0005,NA,NA,6055424074,R01C02,Sebastian Moran,NCI60,SKIN,MELANOMA,No,YES,Yes,No,NA,2011-07-01,skin,melanoma,905956
BT-549,F08,SMET0005,NA,NA,6055424074,R02C02,Sebastian Moran,NCI60,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,905951
KM12,E11,SMET0005,NA,NA,6055424074,R05C01,Sebastian Moran,NCI60,COLON,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-07-01,digestive_system,large_intestine,905989
NCI-H226,G08,SMET0005,NA,NA,6055424101,R02C01,Sebastian Moran,NCI60,LUNG,SQUAMOUS CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,lung,lung_NSCLC_squamous_cell_carcinoma,905941
786-0,G09,SMET0005,NA,NA,6055424101,R03C01,Sebastian Moran,NCI60,KIDNEY,CLEAR CELL RENAL CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,kidney,kidney,905947
A549,G10,SMET0005,NA,NA,6055424101,R04C01,Sebastian Moran,NCI60,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2011-07-01,lung,lung_NSCLC_adenocarcinoma,905949
MDA-MB-468,H10,SMET0005,NA,NA,6055424101,R04C02,Sebastian Moran,NCI60,BREAST,CARCINOMA,No,YES,Yes,No,NA,2011-07-01,breast,breast,908123
BXPC-3,D02,SMET0006,NA,NA,6055424023,R02C02,Laia Simo,NA,PANCREAS,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2011-07-15,pancreas,pancreas,906693
MDA-MB-134-VI,G02,SMET0006,NA,NA,6055424030,R02C01,Laia Simo,NA,BREAST,DUCTAL CARCINOMA,No,YES,Yes,No,NA,2011-07-15,breast,breast,908119
SW48,C02,SMET0008,NA,NA,6042324140,R02C01,Javi Carmona,Coltheres,COLON,ADENOCARCINOMA,No,YES,Yes,No,NA,2011-08-24,digestive_system,large_intestine,909751
NCI-H1437,B12,SMET0008,NA,NA,6042324159,R06C02,Juan Sandoval,NA,LUNG,ADENOCARCINOMA,No,YES,Yes,No,Sequenced at BGI,2011-08-24,lung,lung_NSCLC_adenocarcinoma,687794
DMS-114,B01,SMET0023,NA,NA,7507867003,R01C02,Manolo,Lineas Celulares Pulmon,LUNG,SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-02-22,lung,lung_small_cell_carcinoma,687983
NCI-H1299,G06,SMET0023,NA,NA,7507867044,R06C01,Manolo,Lineas Celulares Pulmon,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-02-22,lung,lung_NSCLC_large cell,724831
NCI-H1975,C09,SMET0023,NA,NA,7507867069,R03C01,Manolo,Lineas Celulares Pulmon,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-02-22,lung,lung_NSCLC_adenocarcinoma,924244
ISHIKAWA,C04,SMET0024,NA,NA,7796806071,R04C01,Andree Yeremian,Radioresistencia,ENDOMETRIUM,ADENOCARCINOMA,No,YES,Yes,No,Control,2012-03-28,urogenital_system,endometrium,1298150
LNCAP-CLONE-FGC,E09,SMET0027,NA,NA,7786923095,R03C01,Sebastian Moran,NA,PROSTATE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-04-03,urogenital_system,prostate,907788
SNU-1,F11,SMET0027,NA,NA,7786923095,R05C02,Sebastian Moran,NA,STOMACH,ADENOCARCINOMA (UNDIFFERENTIATED),No,YES,Yes,No,NA,2012-04-03,NA,NA,NA
CALU-3,A06,SMET0028,NA,NA,7766148028,R06C01,Sebastian Moran,Cell Lines,LUNG,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-04-27,lung,lung_NSCLC_adenocarcinoma,687777
AN3-CA,E04,SMET0028,NA,NA,7796806031,R04C01,Sebastian Moran,Cell Lines,ENDOMETRIUM,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-04-27,urogenital_system,endometrium,910781
RKO,E06,SMET0028,NA,NA,7796806031,R06C01,Sebastian Moran,Cell Lines,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-04-27,digestive_system,large_intestine,909698
HEP_G2,H02,SMET0028,NA,NA,7796806035,R02C02,Sebastian Moran,Cell Lines,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-04-27,digestive_system,liver,1298135
T98G,G04,SMET0028,NA,NA,7796806035,R04C01,Sebastian Moran,Cell Lines,CENTRAL NERVOUS SYSTEM,ASTROCYTOMA,No,YES,Yes,No,NA,2012-04-27,nervous_system,glioma,687586
SK-CO-1,A01,SMET0029,NA,NA,7796806008,R01C01,Javi Carmona,Coltheres,LARGE INTESTINE,ADENOCARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,large_intestine,909718
MDA-MB-436,B01,SMET0029,NA,NA,7796806008,R01C02,Sebastian Moran,NA,BREAST,CARCINOMA,No,YES,Yes,No,NA,2012-05-18,breast,breast,1240172
SW1353,B03,SMET0029,NA,NA,7796806008,R03C02,Sebastian Moran,NA,BONE,CHONDROSARCOMA,No,YES,Yes,No,NA,2012-05-18,NA,NA,NA
SNU-387,B04,SMET0029,NA,NA,7796806008,R04C02,Anna Portela,Heptromics,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,liver,909736
SNU-423,A05,SMET0029,NA,NA,7796806008,R05C01,Anna Portela,Heptromics,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,liver,909737
SNU-398,B05,SMET0029,NA,NA,7796806008,R05C02,Anna Portela,Heptromics,LIVER,HEPATOCELLULAR CARCINOMA,No,YES,Yes,No,NA,2012-05-18,digestive_system,liver,1240217
CAL-12T,B06,SMET0029,NA,NA,7796806008,R06C02,Sebastian Moran,NA,LUNG,NON SMALL CELL CARCINOMA,No,YES,Yes,No,NA,2012-05-18,lung,lung_NSCLC_not specified,753540
