V1,8359018054_R03C01,8359018053_R04C02,8221932075_R03C02,8221924165_R04C02,7970368131_R04C02,8221924068_R01C01,7970376007_R06C02,8221924165_R06C01,7970368089_R03C01,7796806034_R02C02,7973201120_R05C02,7970376031_R02C01,8795207004_R05C01,7878191025_R03C01,7970376020_R03C01,8221924155_R01C01,7878191015_R05C02,7878191015_R04C01,7878191127_R06C02,7878191011_R06C02,5975827037_R06C01,5975827051_R02C02,8363800206_R03C02,6055424072_R03C02,6055424074_R05C01,8221932074_R04C01,7970376015_R05C02,8221932016_R04C02,8221924165_R05C02,8359018100_R01C01,8221932019_R06C01,8221924140_R04C02,8221932019_R02C02,7970376031_R01C02,8359026005_R06C02,7796806054_R04C01,7878191035_R06C02,7878191035_R06C01,8221924127_R01C02,8221932050_R05C02,7878191054_R02C01,7878191035_R03C02,7786923095_R03C01,7970368027_R02C01,7970368089_R03C02,8221924068_R04C02,7878191064_R01C01,8221916145_R04C02,8359026012_R04C02,8221932050_R01C02,8221924120_R02C01,8221924165_R04C01,8359018100_R04C01,7878191026_R02C01,7878191026_R02C02,7970368157_R02C02,8221932016_R05C02,7878191001_R02C01,7970368027_R01C02,8359018054_R01C01,8221932019_R06C02,7970376038_R01C01,8359018054_R06C01,7878191054_R05C01,8359026011_R02C02,7970376020_R02C02,7878191026_R03C02,8359026011_R04C01,8221916145_R03C02,8221924118_R04C01,8359018112_R05C01,7878191001_R05C01,7970368157_R06C02,7973201119_R06C01,7970376031_R06C01,7970368119_R02C02,8221924155_R04C01,8221924047_R04C01,8221924003_R02C01,7878191037_R01C01,8221924055_R02C02,8221924128_R02C02,8221916070_R06C01,8359026012_R02C01,8363800233_R05C02,7878191034_R03C02,7878191011_R05C02,7970376038_R03C02,7878191029_R04C02,7878191083_R03C01,8221932055_R04C01,8221924127_R06C01,7878191037_R01C02,8359026017_R01C02,8359026029_R04C02,8221932009_R03C01,9297962143_R06C01,9297962143_R01C02,9297962143_R03C01,5723654015_R02C02
chr1:1051178-1052445,0.373372874,0.414496204,0.289233348,0.302376424,0.38806242,0.361598693,0.396046959,0.139869785,0.345681507,0.091489854,0.262946311,0.408062613,0.355058911,0.358567273,0.344240432,0.41666641,0.376563961,0.399805665,0.359680688,0.253187436,0.395857959,0.322303484,0.395368454,0.337567663,0.402445029,0.244725582,0.319911567,0.273990234,0.319807408,0.388341591,0.294169074,0.362401472,0.196881631,0.270723937,0.38807806,0.338389713,0.318792396,0.302593735,0.282370687,0.267055654,0.21382077,0.197457672,0.324473503,0.371089964,0.39739868,0.404242966,0.38575303,0.363224604,0.456789024,0.414178172,0.387102994,0.324331989,0.382399154,0.5178772,0.262431869,0.354429229,0.336759102,0.397682699,0.228050135,0.42445575,0.340086432,0.394414464,0.320214748,0.38966502,0.376169273,0.375995676,0.325702251,0.2449796,0.260157034,0.339201869,0.389303804,0.375290639,0.312928322,0.351848221,0.369414271,0.336035703,0.397542772,0.38410461,0.380976547,0.279774848,0.352519376,0.312773105,0.406706129,0.321272617,0.366120439,0.34387848,0.353939712,0.377058705,0.226647913,0.372945309,0.360936192,0.408746943,0.380234833,0.362845953,0.392550474,0.199933462,0.190630869,0.324436194,0.556934709,0.416242725
chr1:109824313-109824526,0.464432178,0.595981618,0.504807966,0.459452033,0.511485406,0.53964668,0.662207627,0.51320117,0.539187728,0.7554056,0.589841278,0.676093268,0.562506814,0.663919458,0.378338389,0.807408731,0.704180807,0.647090934,0.737313897,0.411451423,0.839323535,0.523039623,0.553049209,0.382056718,0.649738282,0.295564355,0.407359059,0.507601212,0.663835978,0.659185434,0.504479931,0.408854118,0.471443044,0.527066358,0.76996074,0.553187232,0.550631245,0.727567424,0.317610629,0.305836083,0.456581469,0.587849736,0.576731115,0.583114677,0.626449603,0.732597365,0.667300318,0.571923915,0.697807875,0.578236756,0.689279095,0.368803237,0.591603107,0.702781498,0.334832004,0.53813179,0.44831481,0.6471564,0.37367967,0.54907523,0.499915468,0.51530823,0.579201652,0.71012912,0.467938776,0.635435047,0.566250324,0.488879799,0.525557474,0.574017107,0.519539266,0.387369109,0.598301642,0.543064958,0.700253151,0.693688584,0.555316002,0.514584359,0.688993835,0.542547183,0.579610718,0.449847134,0.757421834,0.565808394,0.62712175,0.781392374,0.519925907,0.581520078,0.286726237,0.473808497,0.571746428,0.519168927,0.595144771,0.569477988,0.762765845,0.583270691,0.351398031,0.770030702,0.497149782,0.612553763
chr1:109825710-109826207,0.141190994,0.177061297,0.16683714,0.169871396,0.170686699,0.174060922,0.177280571,0.116770398,0.163567424,0.17200207,0.176607459,0.174079804,0.184855194,0.189333746,0.096239032,0.176096962,0.180760727,0.182548999,0.191849178,0.173194324,0.1776788,0.168071698,0.170036354,0.097616708,0.175340566,0.17956999,0.178095726,0.183335934,0.181582012,0.172038468,0.181747414,0.163777811,0.167417184,0.171538219,0.185841099,0.167335916,0.172441798,0.194493727,0.177574849,0.174188562,0.197978522,0.166373894,0.165178414,0.167618386,0.173246304,0.182825542,0.177612267,0.169128826,0.189472095,0.176371828,0.16725197,0.141628293,0.184736567,0.252397955,0.167778409,0.178279056,0.119928958,0.191072537,0.143890173,0.180516138,0.180613344,0.164489427,0.090567927,0.173438467,0.169837352,0.106236844,0.216674817,0.194176011,0.107996789,0.160687473,0.176032015,0.172304212,0.169096313,0.17413431,0.170086392,0.159026159,0.181027345,0.169149523,0.177133865,0.168918144,0.17146289,0.176853295,0.193021151,0.182877872,0.17006595,0.175614168,0.171534608,0.172515243,0.165194693,0.174103147,0.175086256,0.183050144,0.171983897,0.183981102,0.161580363,0.181413643,0.150755219,0.412304479,0.166400049,0.184237868
chr1:110008962-110010124,0.414323113,0.531760163,0.52599362,0.455188822,0.47408225,0.307789852,0.298109469,0.279719089,0.612339346,0.218796693,0.384368384,0.547485518,0.42533601,0.752259518,0.398259763,0.435792504,0.318140126,0.561847989,0.559070208,0.446251855,0.676611923,0.66644598,0.310834205,0.426225278,0.729265947,0.435719049,0.505704738,0.259838676,0.381602945,0.446272391,0.305413371,0.320961623,0.26806243,0.243683385,0.540908863,0.590943025,0.499884637,0.474664077,0.491995942,0.378456986,0.421302924,0.312844139,0.332821968,0.682272462,0.621639046,0.505779273,0.494891242,0.442076862,0.760768694,0.812896945,0.438394724,0.314365552,0.617450059,0.647719232,0.624214304,0.409537033,0.341651343,0.543385709,0.186663766,0.447162547,0.30954063,0.433817539,0.674583949,0.391499928,0.426312196,0.426881917,0.708355775,0.635758862,0.374792472,0.377206828,0.439194967,0.544875609,0.492859535,0.386764765,0.477812615,0.439019519,0.523737265,0.37485752,0.51771194,0.368673454,0.3708084,0.202984552,0.533403465,0.501247454,0.514842272,0.467891246,0.561900628,0.324467192,0.272865311,0.441357062,0.368854775,0.414240267,0.34131432,0.414434385,0.463400047,0.489163096,0.303350288,0.639070067,0.616767397,0.540429334
chr1:110527248-110528026,0.302245409,0.188215299,0.267935306,0.298981206,0.260396922,0.15975867,0.309936029,0.130898605,0.259749558,0.288644825,0.264784149,0.275985525,0.30082985,0.27965226,0.284313044,0.316484793,0.283220203,0.22692084,0.318546122,0.253727926,0.31939325,0.273889359,0.292279263,0.25053087,0.296505505,0.148978655,0.270859209,0.292217807,0.274931593,0.273525516,0.24518259,0.278268593,0.268189745,0.286475057,0.313246017,0.211619089,0.293226267,0.288415209,0.205149376,0.143197966,0.247371132,0.306390763,0.242904582,0.250746104,0.288242656,0.281356445,0.282751486,0.264067584,0.372956462,0.327955427,0.282794749,0.273397877,0.306412843,0.244018903,0.172988405,0.229990272,0.262934018,0.32863577,0.236505251,0.281761023,0.231720872,0.268602862,0.303247181,0.310511082,0.31346086,0.282032328,0.244409483,0.284791611,0.278920183,0.310611808,0.301606106,0.248340094,0.280568789,0.231302288,0.272292175,0.260223362,0.251915609,0.165402018,0.268228722,0.243914582,0.255430548,0.229216796,0.268497154,0.27240817,0.29125422,0.269868587,0.293636633,0.268005177,0.138565479,0.21139041,0.216264795,0.28661013,0.191305025,0.258317966,0.303597847,0.218377731,0.204680166,0.302266635,0.296557694,0.314631015
chr1:114354373-114355300,0.329205904,0.303191536,0.277662708,0.349443863,0.311685153,0.301260344,0.32388212,0.27021298,0.272397202,0.301876016,0.279935648,0.317221535,0.317349494,0.336023079,0.317009425,0.308620811,0.328793895,0.289619417,0.341234679,0.275841621,0.322530654,0.326376293,0.330747205,0.295348285,0.296396676,0.270947289,0.271583104,0.330067468,0.32051218,0.28817081,0.308865301,0.28534815,0.275654775,0.306977503,0.310575994,0.300514002,0.265981538,0.256522265,0.285546966,0.278331292,0.322430826,0.3091925,0.274721996,0.305764122,0.297315029,0.327232053,0.291474075,0.327627933,0.326310431,0.312807321,0.330442557,0.317300545,0.304657651,0.294762558,0.219119496,0.335444907,0.28826207,0.307090227,0.322644857,0.346172013,0.270209328,0.275747618,0.333124424,0.315996706,0.316115561,0.313149872,0.228736982,0.342134695,0.328326807,0.323823132,0.30189742,0.234542672,0.310472838,0.280072073,0.315692939,0.316347856,0.254479367,0.226358506,0.300911685,0.234645759,0.281878564,0.266131333,0.308223182,0.29906577,0.319997598,0.281931171,0.286594365,0.321361455,0.238306046,0.268079873,0.287556308,0.337123172,0.30883156,0.327065574,0.329788943,0.255619337,0.271607985,0.339792586,0.299999134,0.330245723
chr1:114695136-114696672,0.367669417,0.546051379,0.356251038,0.292792987,0.542795788,0.141743636,0.332655973,0.226369969,0.415812727,0.168838778,0.422887292,0.577625019,0.252328987,0.709489633,0.243034228,0.305906195,0.426749974,0.537358383,0.58071872,0.416813733,0.729703212,0.544213951,0.559576173,0.166066181,0.727053163,0.623160732,0.317017844,0.23913104,0.27660194,0.467819447,0.153504267,0.205565062,0.175398588,0.176623577,0.593036533,0.646644576,0.619495461,0.418680556,0.409914807,0.294822766,0.325961136,0.191646102,0.234568907,0.733469672,0.487209132,0.647889222,0.363979933,0.271432673,0.742610947,0.83049832,0.295957041,0.173145302,0.489624403,0.683421106,0.49982135,0.710381155,0.282025818,0.610193687,0.157043546,0.351663575,0.212466773,0.249794231,0.391170741,0.612906357,0.472651371,0.294541178,0.715328344,0.663371166,0.246678829,0.272592608,0.231369852,0.767236924,0.347326524,0.311484954,0.210676266,0.362728729,0.283605251,0.270595167,0.531942045,0.384147102,0.456186508,0.156899589,0.461062408,0.613763926,0.439124938,0.365073796,0.637875757,0.369691607,0.255657315,0.356139198,0.186513195,0.507143065,0.395679375,0.502411743,0.768171487,0.591507572,0.175774172,0.630557102,0.758173692,0.704428111
chr1:1149055-1149524,0.755796259,0.855613613,0.614401729,0.678152861,0.797635259,0.700503931,0.81717656,0.521224986,0.654296395,0.4175067,0.391915069,0.745492156,0.813387044,0.322267389,0.861158374,0.779196716,0.861211606,0.80184452,0.880294804,0.763945934,0.832053495,0.262171962,0.84073248,0.789779037,0.644218595,0.710528248,0.497011328,0.695028723,0.587022819,0.668952458,0.645806744,0.685366374,0.679553886,0.586578548,0.846287595,0.759110463,0.761164664,0.675524387,0.71379108,0.51908232,0.413167479,0.743967758,0.718918456,0.825967232,0.763377354,0.811078199,0.810396575,0.861308189,0.877771524,0.303227058,0.744466686,0.635086894,0.658561804,0.775745306,0.355128598,0.757618266,0.704950466,0.868967187,0.546815924,0.874674194,0.390834438,0.80313086,0.784009418,0.854176591,0.81935084,0.762934603,0.532570148,0.438261072,0.57728619,0.630716561,0.569790362,0.641091,0.714208083,0.650879487,0.854082291,0.801900227,0.749935927,0.732882664,0.644886085,0.573325195,0.67185748,0.524996851,0.844068695,0.675881352,0.846585347,0.557718685,0.743782743,0.762392002,0.55811488,0.28648762,0.830668767,0.74867696,0.780167495,0.813038577,0.709699072,0.318634087,0.624965028,0.355384415,0.792960366,0.643435496
chr1:117664180-117665148,0.303913264,0.251740856,0.313800022,0.344207245,0.229980163,0.245173934,0.324162045,0.2795616,0.38708694,0.32853602,0.263892151,0.314905059,0.272812264,0.390261289,0.25195074,0.290761823,0.403849542,0.265265413,0.388675979,0.284056791,0.384787383,0.379121189,0.33509001,0.28786895,0.388990458,0.338016686,0.258222925,0.379512005,0.313377161,0.344284662,0.358229233,0.245425359,0.21894657,0.233692947,0.35825327,0.354970473,0.306603817,0.203554025,0.654634041,0.255494049,0.212563674,0.353294047,0.334879438,0.231587084,0.335388966,0.354718405,0.26298117,0.356890754,0.413173685,0.498485275,0.268280336,0.275737296,0.287582707,0.781398939,0.314823958,0.269083846,0.319367182,0.353300936,0.210670929,0.297277783,0.27358437,0.250265006,0.389217352,0.39767165,0.303371861,0.251354462,0.439234922,0.336946601,0.288433948,0.293506931,0.397297442,0.258686573,0.336887319,0.254040062,0.332510241,0.350368508,0.285557148,0.193587307,0.326021049,0.236958462,0.214706773,0.266550756,0.352475441,0.364925931,0.338729487,0.300444276,0.255125545,0.290413026,0.207217857,0.249703246,0.267209015,0.241737959,0.304307581,0.348139598,0.354206442,0.373073673,0.23650407,0.403578778,0.500033879,0.374878902
chr1:119531991-119532196,0.763381877,0.868510575,0.791342204,0.757233605,0.853424825,0.701863224,0.822913018,0.150708004,0.73686692,0.127894303,0.716740726,0.693587785,0.800394426,0.844740568,0.696633071,0.872438218,0.876853681,0.81212931,0.835738549,0.672495324,0.842253698,0.594452006,0.761829998,0.789134633,0.859094842,0.561181261,0.705442071,0.459141016,0.817113977,0.661868408,0.820110401,0.488506493,0.536718765,0.434066993,0.840935868,0.686303164,0.750391213,0.818694024,0.547153716,0.393999934,0.229174621,0.159102145,0.746905884,0.747921664,0.82262342,0.841796632,0.822292213,0.097981263,0.832268125,0.778207831,0.700935366,0.738834774,0.822774301,0.759320535,0.623953521,0.800875921,0.754004982,0.798907529,0.276249264,0.694449199,0.556164075,0.738768093,0.893857249,0.880684287,0.813184465,0.710286623,0.841436233,0.595496774,0.696987862,0.889190355,0.74438897,0.739773891,0.439853213,0.678660526,0.822648417,0.811765997,0.680797978,0.313615025,0.705988451,0.475786905,0.669240909,0.420755557,0.793706506,0.877473084,0.631569954,0.773290076,0.741905582,0.707283279,0.324436808,0.635802353,0.200725811,0.779556314,0.87048838,0.881925939,0.883299125,0.635404795,0.766310952,0.80638256,0.694578897,0.776763615
